Boston Celtics,New York Knicks,1.47,2.69,2024-10-18 14:38:36.648430,?,1,?,?,?
Los Angeles Lakers,Minnesota Timberwolves,2.1,1.77,2024-10-18 14:38:36.648469,?,0,?,?,?
