Home Team,Away Team,Date,Result,Prediction,Correct?,Bet Result,Total,spread
LA Clippers,Dallas Mavericks,2020-12-27,-,0,False,0,0,0
New Orleans Pelicans,San Antonio Spurs,2020-12-27,W,1,True,105.0,105.0,5.5
Washington Wizards,Orlando Magic,2020-12-27,W,1,True,105.0,210.0,1.5
Charlotte Hornets,Brooklyn Nets,2020-12-27,-,1,False,0,210.0,0
Cleveland Cavaliers,Philadelphia 76ers,2020-12-27,L,1,False,-100,110.0,5.5
New York Knicks,Milwaukee Bucks,2020-12-27,L,1,False,-100,10.0,11.0
Indiana Pacers,Boston Celtics,2020-12-27,L,0,True,0,10.0,3.0
Chicago Bulls,Golden State Warriors,2020-12-27,W,1,True,115.0,125.0,2.0
Sacramento Kings,Phoenix Suns,2020-12-27,W,1,True,83,208.0,3.5
Los Angeles Lakers,Minnesota Timberwolves,2020-12-28,W,0,False,0,208.0,11.0
Brooklyn Nets,Memphis Grizzlies,2020-12-28,W,1,True,105.0,313.0,7.0
Atlanta Hawks,Detroit Pistons,2020-12-28,W,1,True,83,396.0,8.5
Oklahoma City Thunder,Utah Jazz,2020-12-28,W,1,True,125.0,521.0,5.0
Denver Nuggets,Houston Rockets,2020-12-28,L,1,False,-100,421.0,9.0
Los Angeles Lakers,Portland Trail Blazers,2020-12-28,L,0,True,0,421.0,4.5
Indiana Pacers,Boston Celtics,2020-12-29,W,1,True,100.0,521.0,1.0
Washington Wizards,Chicago Bulls,2020-12-29,W,1,True,115.0,636.0,4.5
Detroit Pistons,Golden State Warriors,2020-12-29,W,1,True,110.0,746.0,3.5
Philadelphia 76ers,Toronto Raptors,2020-12-29,L,1,False,-100,646.0,0.0
Cleveland Cavaliers,New York Knicks,2020-12-29,L,0,True,0,646.0,4.5
Miami Heat,Milwaukee Bucks,2020-12-29,W,1,True,80,726.0,5.0
Oklahoma City Thunder,Orlando Magic,2020-12-29,W,1,True,120.0,846.0,5.0
LA Clippers,Minnesota Timberwolves,2020-12-29,-,1,False,0,846.0,0
Phoenix Suns,New Orleans Pelicans,2020-12-29,W,0,False,0,846.0,3.0
Sacramento Kings,Denver Nuggets,2020-12-29,L,1,False,-100,746.0,3.0
Boston Celtics,Memphis Grizzlies,2020-12-30,L,1,False,-100,646.0,8.5
Miami Heat,Milwaukee Bucks,2020-12-30,L,1,False,-100,546.0,6.0
Brooklyn Nets,Atlanta Hawks,2020-12-30,W,1,True,90,636.0,6.5
Dallas Mavericks,Charlotte Hornets,2020-12-30,-,1,False,0,636.0,0
San Antonio Spurs,Los Angeles Lakers,2020-12-30,W,1,True,115.0,751.0,6.5
LA Clippers,Portland Trail Blazers,2020-12-30,-,1,False,0,751.0,0
