Home Team,Away Team,Date,Result,Prediction,Correct?,Bet Result,Total,spread
Orlando Magic,New York Knicks,2021-10-22,W,1,True,125.0,125.0,4.5
Cleveland Cavaliers,Charlotte Hornets,2021-10-22,-,1,False,0,125.0,0
Washington Wizards,Indiana Pacers,2021-10-22,W,1,True,110.0,235.0,2.0
Boston Celtics,Toronto Raptors,2021-10-22,W,1,True,72,307.0,8.0
Philadelphia 76ers,Brooklyn Nets,2021-10-22,L,0,True,0,307.0,1.0
Houston Rockets,Oklahoma City Thunder,2021-10-22,L,1,False,-100,207.0,3.0
Chicago Bulls,New Orleans Pelicans,2021-10-22,W,0,False,0,207.0,6.5
Denver Nuggets,San Antonio Spurs,2021-10-22,W,1,True,80,287.0,8.0
Los Angeles Lakers,Phoenix Suns,2021-10-22,W,1,True,83,370.0,3.0
Sacramento Kings,Utah Jazz,2021-10-22,W,1,True,110.0,480.0,6.0
Cleveland Cavaliers,Atlanta Hawks,2021-10-23,L,1,False,-100,380.0,3.0
Indiana Pacers,Miami Heat,2021-10-23,L,1,False,-100,280.0,3.0
Toronto Raptors,Dallas Mavericks,2021-10-23,W,1,True,83,363.0,3.5
Minnesota Timberwolves,New Orleans Pelicans,2021-10-23,W,0,False,0,363.0,6.0
Chicago Bulls,Detroit Pistons,2021-10-23,W,0,False,0,363.0,9.0
San Antonio Spurs,Milwaukee Bucks,2021-10-23,W,1,True,120.0,483.0,7.5
Portland Trail Blazers,Phoenix Suns,2021-10-23,L,1,False,-100,383.0,2.0
LA Clippers,Memphis Grizzlies,2021-10-23,-,1,False,0,383.0,0
Brooklyn Nets,Charlotte Hornets,2021-10-24,-,1,False,0,383.0,0
New York Knicks,Orlando Magic,2021-10-24,L,0,True,0,383.0,12.0
Houston Rockets,Boston Celtics,2021-10-24,W,1,True,100.0,483.0,6.0
Oklahoma City Thunder,Philadelphia 76ers,2021-10-24,W,1,True,90,573.0,7.5
Sacramento Kings,Golden State Warriors,2021-10-24,W,1,True,110.0,683.0,3.0
Los Angeles Lakers,Memphis Grizzlies,2021-10-24,W,1,True,105.0,788.0,6.0
Indiana Pacers,Milwaukee Bucks,2021-10-25,W,1,True,83,871.0,10.5
Charlotte Hornets,Boston Celtics,2021-10-25,-,1,False,0,871.0,0
Miami Heat,Orlando Magic,2021-10-25,W,0,False,0,871.0,14.0
Toronto Raptors,Chicago Bulls,2021-10-25,W,1,True,100.0,971.0,2.5
Atlanta Hawks,Detroit Pistons,2021-10-25,W,0,False,0,971.0,10.5
Brooklyn Nets,Washington Wizards,2021-10-25,L,1,False,-100,871.0,7.5
Minnesota Timberwolves,New Orleans Pelicans,2021-10-25,W,1,True,72,943.0,5.5
Denver Nuggets,Cleveland Cavaliers,2021-10-25,W,1,True,83,1026.0,10.5
LA Clippers,Portland Trail Blazers,2021-10-25,-,1,False,0,1026.0,0
New York Knicks,Philadelphia 76ers,2021-10-26,L,1,False,-100,926.0,1.0
Oklahoma City Thunder,Golden State Warriors,2021-10-26,W,1,True,83,1009.0,9.0
Dallas Mavericks,Houston Rockets,2021-10-26,W,1,True,83,1092.0,11.0
San Antonio Spurs,Los Angeles Lakers,2021-10-26,W,1,True,125.0,1217.0,4.5
Utah Jazz,Denver Nuggets,2021-10-26,W,0,False,0,1217.0,7.0
