Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
LA Clippers,Dallas Mavericks,,,2020-12-27,-,Under,False,0,0
New Orleans Pelicans,San Antonio Spurs,,,2020-12-27,Under,Under,True,90,90
Washington Wizards,Orlando Magic,,,2020-12-27,Over,Over,True,105.0,195
Charlotte Hornets,Brooklyn Nets,,,2020-12-27,-,Under,False,0,195
Cleveland Cavaliers,Philadelphia 76ers,,,2020-12-27,Under,Under,True,83,278
New York Knicks,Milwaukee Bucks,,,2020-12-27,Over,Over,True,120.0,398
Indiana Pacers,Boston Celtics,,,2020-12-27,Under,Under,True,100.0,498
Chicago Bulls,Golden State Warriors,,,2020-12-27,Over,Over,True,100.0,598
Sacramento Kings,Phoenix Suns,,,2020-12-27,Under,Under,True,120.0,718
Los Angeles Lakers,Minnesota Timberwolves,,,2020-12-28,Under,Under,True,110.0,828
Brooklyn Nets,Memphis Grizzlies,,,2020-12-28,Under,Under,True,83,911
Atlanta Hawks,Detroit Pistons,,,2020-12-28,Over,Over,True,90,1001
Oklahoma City Thunder,Utah Jazz,,,2020-12-28,Under,Under,True,80,1081
Denver Nuggets,Houston Rockets,,,2020-12-28,Over,Over,True,83,1164
Los Angeles Lakers,Portland Trail Blazers,,,2020-12-28,Under,Under,True,100.0,1264
Indiana Pacers,Boston Celtics,,,2020-12-29,Over,Over,True,125.0,1389
Washington Wizards,Chicago Bulls,,,2020-12-29,Under,Under,True,90,1479
Detroit Pistons,Golden State Warriors,,,2020-12-29,Under,Under,True,110.0,1589
Philadelphia 76ers,Toronto Raptors,,,2020-12-29,Under,Under,True,90,1679
Cleveland Cavaliers,New York Knicks,,,2020-12-29,Under,Under,True,105.0,1784
Miami Heat,Milwaukee Bucks,,,2020-12-29,Over,Over,True,90,1874
Oklahoma City Thunder,Orlando Magic,,,2020-12-29,Over,Over,True,83,1957
LA Clippers,Minnesota Timberwolves,,,2020-12-29,-,Under,False,0,1957
Phoenix Suns,New Orleans Pelicans,,,2020-12-29,Under,Under,True,83,2040
Sacramento Kings,Denver Nuggets,,,2020-12-29,Over,Over,True,120.0,2160
Boston Celtics,Memphis Grizzlies,,,2020-12-30,Over,Over,True,125.0,2285
Miami Heat,Milwaukee Bucks,,,2020-12-30,Under,Under,True,125.0,2410
Brooklyn Nets,Atlanta Hawks,,,2020-12-30,Over,Over,True,83,2493
Dallas Mavericks,Charlotte Hornets,,,2020-12-30,-,Under,False,0,2493
San Antonio Spurs,Los Angeles Lakers,,,2020-12-30,Under,Over,False,-100,2393
LA Clippers,Portland Trail Blazers,,,2020-12-30,-,Under,False,0,2393
Indiana Pacers,Cleveland Cavaliers,,,2020-12-31,Over,Over,True,83,2476
Washington Wizards,Chicago Bulls,,,2020-12-31,Over,Over,True,83,2559
Orlando Magic,Philadelphia 76ers,,,2020-12-31,Under,Under,True,120.0,2679
Houston Rockets,Sacramento Kings,,,2020-12-31,Over,Over,True,72,2751
Toronto Raptors,New York Knicks,,,2020-12-31,Under,Under,True,83,2834
Oklahoma City Thunder,New Orleans Pelicans,,,2020-12-31,Under,Under,True,83,2917
Utah Jazz,Phoenix Suns,,,2020-12-31,Under,Under,True,100.0,3017
Dallas Mavericks,Miami Heat,,,2021-01-01,Under,Under,True,120.0,3137
Brooklyn Nets,Atlanta Hawks,,,2021-01-01,Under,Under,True,83,3220
Minnesota Timberwolves,Washington Wizards,,,2021-01-01,Over,Over,True,72,3292
San Antonio Spurs,Los Angeles Lakers,,,2021-01-01,Under,Under,True,125.0,3417
Milwaukee Bucks,Chicago Bulls,,,2021-01-01,Under,Under,True,100.0,3517
Denver Nuggets,Phoenix Suns,,,2021-01-01,Under,Under,True,125.0,3642
New Orleans Pelicans,Toronto Raptors,,,2021-01-02,Over,Over,True,120.0,3762
Detroit Pistons,Boston Celtics,,,2021-01-03,Over,Over,True,90,3852
Memphis Grizzlies,Los Angeles Lakers,,,2021-01-03,Under,Under,True,90,3942
Chicago Bulls,Dallas Mavericks,,,2021-01-03,Over,Over,True,72,4014
Milwaukee Bucks,Detroit Pistons,,,2021-01-04,Over,Over,True,120.0,4134
Brooklyn Nets,Utah Jazz,,,2021-01-05,Under,Under,True,120.0,4254
Memphis Grizzlies,Los Angeles Lakers,,,2021-01-05,Under,Under,True,115.0,4369
Miami Heat,Boston Celtics,,,2021-01-06,Under,Under,True,90,4459
New York Knicks,Utah Jazz,,,2021-01-06,Under,Under,True,115.0,4574
Milwaukee Bucks,Detroit Pistons,,,2021-01-06,Over,Over,True,80,4654
Sacramento Kings,Chicago Bulls,,,2021-01-06,Over,Over,True,100.0,4754
Detroit Pistons,Phoenix Suns,,,2021-01-08,Under,Under,True,115.0,4869
Milwaukee Bucks,Utah Jazz,,,2021-01-08,Over,Over,True,90,4959
Sacramento Kings,Toronto Raptors,,,2021-01-08,Over,Over,True,72,5031
Los Angeles Lakers,Chicago Bulls,,,2021-01-08,Over,Over,True,90,5121
Washington Wizards,Miami Heat,,,2021-01-09,Over,Over,True,83,5204
Minnesota Timberwolves,San Antonio Spurs,,,2021-01-09,Over,Over,True,120.0,5324
Milwaukee Bucks,Cleveland Cavaliers,,,2021-01-09,Under,Under,True,83,5407
Sacramento Kings,Portland Trail Blazers,,,2021-01-09,Under,Under,True,83,5490
Brooklyn Nets,Oklahoma City Thunder,,,2021-01-10,Over,Over,True,72,5562
Minnesota Timberwolves,San Antonio Spurs,,,2021-01-10,Under,Over,False,-100,5462
Cleveland Cavaliers,Memphis Grizzlies,,,2021-01-11,Under,Under,True,83,5545
Portland Trail Blazers,Toronto Raptors,,,2021-01-11,Under,Over,False,-100,5445
Sacramento Kings,Indiana Pacers,,,2021-01-11,Over,Over,True,72,5517
Cleveland Cavaliers,Utah Jazz,,,2021-01-12,Under,Under,True,80,5597
Oklahoma City Thunder,San Antonio Spurs,,,2021-01-12,Under,Under,True,115.0,5712
Golden State Warriors,Indiana Pacers,,,2021-01-12,Under,Under,True,80,5792
Minnesota Timberwolves,Memphis Grizzlies,,,2021-01-13,Over,Over,True,105.0,5897
Sacramento Kings,Portland Trail Blazers,,,2021-01-13,Over,Over,True,83,5980
Toronto Raptors,Charlotte Hornets,,,2021-01-14,-,Under,False,0,5980
Milwaukee Bucks,Dallas Mavericks,,,2021-01-15,Under,Under,True,105.0,6085
Utah Jazz,Atlanta Hawks,,,2021-01-15,Under,Under,True,72,6157
San Antonio Spurs,Houston Rockets,,,2021-01-16,Under,Under,True,110.0,6267
Toronto Raptors,Charlotte Hornets,,,2021-01-16,-,Over,False,0,6267
Portland Trail Blazers,Atlanta Hawks,,,2021-01-16,Under,Under,True,125.0,6392
Dallas Mavericks,Chicago Bulls,,,2021-01-17,Under,Under,True,80,6472
Atlanta Hawks,Minnesota Timberwolves,,,2021-01-18,Under,Under,True,72,6544
Portland Trail Blazers,San Antonio Spurs,,,2021-01-18,Over,Over,True,72,6616
Toronto Raptors,Dallas Mavericks,,,2021-01-18,Under,Under,True,83,6699
Chicago Bulls,Houston Rockets,,,2021-01-18,Over,Over,True,80,6779
Cleveland Cavaliers,Brooklyn Nets,,,2021-01-20,Over,Over,True,72,6851
Atlanta Hawks,Detroit Pistons,,,2021-01-20,Over,Over,True,83,6934
