Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
LA Clippers,Dallas Mavericks,-,-,2020-12-27,L,Away W,True,0,0
New Orleans Pelicans,San Antonio Spurs,1.53,2.7,2020-12-27,W,Away W,False,-100,-100
Washington Wizards,Orlando Magic,2.1,1.77,2020-12-27,L,Away W,True,76,-24
Charlotte Hornets,Brooklyn Nets,-,-,2020-12-27,W,Away W,False,-100,-124
Cleveland Cavaliers,Philadelphia 76ers,3.0,1.42,2020-12-27,W,Home W,True,200.0,76
New York Knicks,Milwaukee Bucks,8.5,1.08,2020-12-27,W,Home W,True,750.0,826
Indiana Pacers,Boston Celtics,2.15,1.74,2020-12-27,W,Away W,False,-100,726
Chicago Bulls,Golden State Warriors,2.45,1.61,2020-12-27,L,Away W,True,60,786
Sacramento Kings,Phoenix Suns,2.4,1.62,2020-12-27,L,Away W,True,62,848
Los Angeles Lakers,Minnesota Timberwolves,1.2,5.0,2020-12-28,W,Home W,True,20,868
Brooklyn Nets,Memphis Grizzlies,2.05,1.8,2020-12-28,L,Away W,True,80,948
Atlanta Hawks,Detroit Pistons,1.2,5.0,2020-12-28,W,Home W,True,20,968
Oklahoma City Thunder,Utah Jazz,4.3,1.25,2020-12-28,L,Away W,True,25,993
Denver Nuggets,Houston Rockets,1.38,3.25,2020-12-28,W,Home W,True,37,1030
Los Angeles Lakers,Portland Trail Blazers,1.43,2.95,2020-12-28,L,Away W,True,195.0,1225
Indiana Pacers,Boston Celtics,1.87,1.95,2020-12-29,L,Away W,True,95,1320
Washington Wizards,Chicago Bulls,1.4,3.1,2020-12-29,L,Away W,True,210.0,1530
Detroit Pistons,Golden State Warriors,2.5,1.59,2020-12-29,L,Away W,True,58,1588
Philadelphia 76ers,Toronto Raptors,1.8,2.05,2020-12-29,W,Home W,True,80,1668
Cleveland Cavaliers,New York Knicks,1.62,2.4,2020-12-29,L,Away W,True,140.0,1808
Miami Heat,Milwaukee Bucks,3.0,1.42,2020-12-29,L,Away W,True,41,1849
Oklahoma City Thunder,Orlando Magic,3.1,1.4,2020-12-29,L,Away W,True,40,1889
LA Clippers,Minnesota Timberwolves,-,-,2020-12-29,W,Home W,True,0,1889
Phoenix Suns,New Orleans Pelicans,1.8,2.05,2020-12-29,W,Home W,True,80,1969
Sacramento Kings,Denver Nuggets,1.91,1.91,2020-12-29,W,Home W,True,90,2059
Boston Celtics,Memphis Grizzlies,1.35,3.45,2020-12-30,W,Home W,True,35,2094
Miami Heat,Milwaukee Bucks,3.2,1.38,2020-12-30,W,Home W,True,220.0,2314
Brooklyn Nets,Atlanta Hawks,1.43,2.95,2020-12-30,W,Away W,False,-100,2214
Dallas Mavericks,Charlotte Hornets,-,-,2020-12-30,L,Away W,True,0,2214
San Antonio Spurs,Los Angeles Lakers,3.6,1.32,2020-12-30,L,Away W,True,32,2246
LA Clippers,Portland Trail Blazers,-,-,2020-12-30,W,Home W,True,0,2246
Indiana Pacers,Cleveland Cavaliers,1.3,3.7,2020-12-31,W,Home W,True,30,2276
Washington Wizards,Chicago Bulls,1.33,3.5,2020-12-31,L,Away W,True,250.0,2526
Orlando Magic,Philadelphia 76ers,2.55,1.57,2020-12-31,L,Away W,True,57,2583
Houston Rockets,Sacramento Kings,1.48,2.8,2020-12-31,W,Away W,False,-100,2483
Toronto Raptors,New York Knicks,1.28,4.0,2020-12-31,W,Home W,True,27,2510
Oklahoma City Thunder,New Orleans Pelicans,2.75,1.5,2020-12-31,L,Away W,True,50,2560
Utah Jazz,Phoenix Suns,1.59,2.5,2020-12-31,L,Away W,True,150.0,2710
Dallas Mavericks,Miami Heat,1.95,1.87,2021-01-01,W,Home W,True,95,2805
Brooklyn Nets,Atlanta Hawks,1.4,3.1,2021-01-01,L,Away W,True,210.0,3015
Minnesota Timberwolves,Washington Wizards,1.91,1.91,2021-01-01,L,Away W,True,90,3105
San Antonio Spurs,Los Angeles Lakers,3.8,1.29,2021-01-01,L,Away W,True,29,3134
Milwaukee Bucks,Chicago Bulls,1.07,9.5,2021-01-01,W,Home W,True,6,3140
Denver Nuggets,Phoenix Suns,1.62,2.4,2021-01-01,L,Away W,True,140.0,3280
New Orleans Pelicans,Toronto Raptors,1.95,1.87,2021-01-02,W,Home W,True,95,3375
Detroit Pistons,Boston Celtics,4.0,1.28,2021-01-03,L,Away W,True,27,3402
Memphis Grizzlies,Los Angeles Lakers,5.0,1.2,2021-01-03,L,Away W,True,20,3422
Chicago Bulls,Dallas Mavericks,2.5,1.59,2021-01-03,W,Home W,True,150.0,3572
Milwaukee Bucks,Detroit Pistons,1.04,12.0,2021-01-04,W,Home W,True,4,3576
Brooklyn Nets,Utah Jazz,2.6,1.56,2021-01-05,W,Home W,True,160.0,3736
Memphis Grizzlies,Los Angeles Lakers,4.8,1.22,2021-01-05,L,Away W,True,21,3757
Miami Heat,Boston Celtics,1.71,2.2,2021-01-06,L,Away W,True,120.0,3877
New York Knicks,Utah Jazz,3.6,1.32,2021-01-06,W,Home W,True,260.0,4137
Milwaukee Bucks,Detroit Pistons,1.1,7.5,2021-01-06,W,Home W,True,10,4147
Sacramento Kings,Chicago Bulls,1.33,3.5,2021-01-06,W,Away W,False,-100,4047
Detroit Pistons,Phoenix Suns,3.7,1.3,2021-01-08,W,Away W,False,-100,3947
Milwaukee Bucks,Utah Jazz,1.42,3.0,2021-01-08,L,Away W,True,200.0,4147
Sacramento Kings,Toronto Raptors,2.0,1.83,2021-01-08,L,Away W,True,83,4230
Los Angeles Lakers,Chicago Bulls,1.24,4.5,2021-01-08,W,Home W,True,23,4253
Washington Wizards,Miami Heat,6.0,1.14,2021-01-09,L,Away W,True,14,4267
