Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
Cleveland Cavaliers,Atlanta Hawks,1.26,4.03,2018-10-21,L,Away W,True,303.0,303
Oklahoma City Thunder,Sacramento Kings,1.15,5.77,2018-10-21,L,Away W,True,477.0,780
Denver Nuggets,Golden State Warriors,2.63,1.53,2018-10-21,W,Away W,False,-100,680
LA Clippers,Houston Rockets,-,-,2018-10-21,W,Home W,True,0,680
Toronto Raptors,Charlotte Hornets,-,-,2018-10-22,W,Home W,True,0,680
Boston Celtics,Orlando Magic,1.11,7.11,2018-10-22,L,Home W,False,-100,580
Minnesota Timberwolves,Indiana Pacers,1.77,2.1,2018-10-22,W,Home W,True,76,656
Milwaukee Bucks,New York Knicks,1.11,7.14,2018-10-22,W,Home W,True,11,667
Dallas Mavericks,Chicago Bulls,1.5,2.7,2018-10-22,W,Home W,True,50,717
Utah Jazz,Memphis Grizzlies,1.14,6.06,2018-10-22,L,Home W,False,-100,617
Portland Trail Blazers,Washington Wizards,1.54,2.6,2018-10-22,L,Away W,True,160.0,777
Los Angeles Lakers,San Antonio Spurs,1.77,2.1,2018-10-22,L,Away W,True,110.0,887
Golden State Warriors,Phoenix Suns,1.08,8.97,2018-10-22,W,Home W,True,7,894
Detroit Pistons,Philadelphia 76ers,2.0,1.83,2018-10-23,W,Away W,False,-100,794
New Orleans Pelicans,LA Clippers,-,-,2018-10-23,W,Home W,True,0,794
Denver Nuggets,Sacramento Kings,1.11,7.14,2018-10-23,W,Home W,True,11,805
Cleveland Cavaliers,Brooklyn Nets,1.69,2.25,2018-10-24,L,Away W,True,125.0,930
Atlanta Hawks,Dallas Mavericks,2.1,1.77,2018-10-24,W,Home W,True,110.0,1040
Miami Heat,New York Knicks,1.25,4.0,2018-10-24,W,Home W,True,25,1065
Toronto Raptors,Minnesota Timberwolves,1.24,4.25,2018-10-24,W,Home W,True,23,1088
Chicago Bulls,Charlotte Hornets,-,-,2018-10-24,W,Away W,False,-100,988
Houston Rockets,Utah Jazz,1.87,1.95,2018-10-24,L,Away W,True,95,1083
San Antonio Spurs,Indiana Pacers,1.8,2.05,2018-10-24,L,Away W,True,105.0,1188
Milwaukee Bucks,Philadelphia 76ers,1.45,2.8,2018-10-24,W,Home W,True,45,1233
Phoenix Suns,Los Angeles Lakers,2.85,1.43,2018-10-24,L,Away W,True,43,1276
Sacramento Kings,Memphis Grizzlies,2.2,1.71,2018-10-24,W,Home W,True,120.0,1396
Golden State Warriors,Washington Wizards,1.15,5.5,2018-10-24,W,Home W,True,15,1411
Detroit Pistons,Cleveland Cavaliers,1.2,4.75,2018-10-25,W,Home W,True,20,1431
Orlando Magic,Portland Trail Blazers,2.45,1.59,2018-10-25,L,Away W,True,58,1489
Oklahoma City Thunder,Boston Celtics,1.91,1.91,2018-10-25,L,Away W,True,90,1579
Los Angeles Lakers,Denver Nuggets,2.0,1.83,2018-10-25,W,Home W,True,100.0,1679
Charlotte Hornets,Chicago Bulls,-,-,2018-10-26,W,Home W,True,0,1679
Toronto Raptors,Dallas Mavericks,1.1,7.5,2018-10-26,W,Home W,True,10,1689
New York Knicks,Golden State Warriors,7.5,1.1,2018-10-26,L,Away W,True,10,1699
New Orleans Pelicans,Brooklyn Nets,1.2,4.75,2018-10-26,W,Home W,True,20,1719
Houston Rockets,LA Clippers,-,-,2018-10-26,L,Away W,True,0,1719
Minnesota Timberwolves,Milwaukee Bucks,2.1,1.77,2018-10-26,L,Away W,True,76,1795
Sacramento Kings,Washington Wizards,2.9,1.42,2018-10-26,W,Away W,False,-100,1695
Detroit Pistons,Boston Celtics,2.4,1.62,2018-10-27,L,Away W,True,62,1757
New Orleans Pelicans,Utah Jazz,3.1,1.38,2018-10-27,L,Away W,True,38,1795
Philadelphia 76ers,Charlotte Hornets,-,-,2018-10-27,W,Away W,False,-100,1695
Atlanta Hawks,Chicago Bulls,1.42,2.9,2018-10-27,L,Away W,True,190.0,1885
Cleveland Cavaliers,Indiana Pacers,3.75,1.29,2018-10-27,L,Away W,True,28,1913
Miami Heat,Portland Trail Blazers,1.8,2.05,2018-10-27,W,Home W,True,80,1993
Memphis Grizzlies,Phoenix Suns,1.29,3.75,2018-10-27,W,Home W,True,28,2021
San Antonio Spurs,Los Angeles Lakers,1.95,1.87,2018-10-27,W,Home W,True,95,2116
Milwaukee Bucks,Orlando Magic,1.2,4.75,2018-10-27,W,Home W,True,20,2136
Brooklyn Nets,Golden State Warriors,5.5,1.15,2018-10-28,L,Away W,True,15,2151
Oklahoma City Thunder,Phoenix Suns,1.05,11.0,2018-10-28,W,Home W,True,5,2156
Dallas Mavericks,Utah Jazz,2.7,1.5,2018-10-28,L,Away W,True,50,2206
LA Clippers,Washington Wizards,-,-,2018-10-28,W,Home W,True,0,2206
Philadelphia 76ers,Atlanta Hawks,1.1,7.5,2018-10-29,W,Home W,True,10,2216
Indiana Pacers,Portland Trail Blazers,1.59,2.45,2018-10-29,L,Away W,True,145.0,2361
Miami Heat,Sacramento Kings,1.2,4.75,2018-10-29,L,Away W,True,375.0,2736
New York Knicks,Brooklyn Nets,1.83,2.0,2018-10-29,W,Home W,True,83,2819
Milwaukee Bucks,Toronto Raptors,2.1,1.77,2018-10-29,W,Home W,True,110.0,2929
Chicago Bulls,Golden State Warriors,7.0,1.11,2018-10-29,L,Away W,True,11,2940
Minnesota Timberwolves,Los Angeles Lakers,2.05,1.8,2018-10-29,W,Home W,True,105.0,3045
San Antonio Spurs,Dallas Mavericks,1.32,3.5,2018-10-29,W,Away W,False,-100,2945
Denver Nuggets,New Orleans Pelicans,1.2,4.75,2018-10-29,W,Away W,False,-100,2845
Cleveland Cavaliers,Atlanta Hawks,1.49,2.72,2018-10-30,W,Home W,True,48,2893
Charlotte Hornets,Miami Heat,-,-,2018-10-30,W,Home W,True,0,2893
Orlando Magic,Sacramento Kings,1.5,2.7,2018-10-30,L,Away W,True,170.0,3063
Boston Celtics,Detroit Pistons,1.21,4.71,2018-10-30,W,Away W,False,-100,2963
Toronto Raptors,Philadelphia 76ers,1.38,3.15,2018-10-30,W,Home W,True,38,3001
Houston Rockets,Portland Trail Blazers,1.5,2.7,2018-10-30,L,Away W,True,170.0,3171
Oklahoma City Thunder,LA Clippers,-,-,2018-10-30,W,Home W,True,0,3171
Memphis Grizzlies,Washington Wizards,1.87,1.95,2018-10-30,W,Home W,True,86,3257
Brooklyn Nets,Detroit Pistons,1.77,2.1,2018-10-31,W,Away W,False,-100,3157
Chicago Bulls,Denver Nuggets,4.17,1.25,2018-10-31,L,Away W,True,25,3182
New York Knicks,Indiana Pacers,3.12,1.39,2018-10-31,L,Away W,True,39,3221
Minnesota Timberwolves,Utah Jazz,3.6,1.31,2018-10-31,W,Home W,True,260.0,3481
Golden State Warriors,New Orleans Pelicans,1.2,4.86,2018-10-31,W,Home W,True,19,3500
Phoenix Suns,San Antonio Spurs,3.81,1.29,2018-10-31,L,Away W,True,28,3528
Los Angeles Lakers,Dallas Mavericks,1.25,4.18,2018-10-31,W,Away W,False,-100,3428
Charlotte Hornets,Oklahoma City Thunder,-,-,2018-11-01,L,Away W,True,0,3428
Philadelphia 76ers,LA Clippers,-,-,2018-11-01,W,Home W,True,0,3428
Cleveland Cavaliers,Denver Nuggets,2.85,1.43,2018-11-01,L,Away W,True,43,3471
Atlanta Hawks,Sacramento Kings,2.15,1.74,2018-11-01,L,Away W,True,74,3545
Boston Celtics,Milwaukee Bucks,1.71,2.2,2018-11-01,W,Home W,True,71,3616
Portland Trail Blazers,New Orleans Pelicans,1.29,3.75,2018-11-01,W,Home W,True,28,3644
Orlando Magic,LA Clippers,-,-,2018-11-02,L,Away W,True,0,3644
Brooklyn Nets,Houston Rockets,2.6,1.53,2018-11-02,L,Away W,True,52,3696
Washington Wizards,Oklahoma City Thunder,1.59,2.45,2018-11-02,L,Away W,True,145.0,3841
Chicago Bulls,Indiana Pacers,3.5,1.32,2018-11-02,L,Away W,True,32,3873
Dallas Mavericks,New York Knicks,1.4,3.0,2018-11-02,L,Away W,True,200.0,4073
Utah Jazz,Memphis Grizzlies,1.29,3.75,2018-11-02,L,Away W,True,275.0,4348
Phoenix Suns,Toronto Raptors,5.5,1.15,2018-11-02,L,Away W,True,15,4363
Golden State Warriors,Minnesota Timberwolves,1.12,6.5,2018-11-02,W,Home W,True,12,4375
Philadelphia 76ers,Detroit Pistons,1.29,3.75,2018-11-03,W,Home W,True,28,4403
Indiana Pacers,Boston Celtics,2.42,1.61,2018-11-03,W,Away W,False,-100,4303
Charlotte Hornets,Cleveland Cavaliers,-,-,2018-11-03,W,Home W,True,0,4303
Atlanta Hawks,Miami Heat,2.9,1.42,2018-11-03,W,Away W,False,-100,4203
Chicago Bulls,Houston Rockets,4.25,1.24,2018-11-03,L,Away W,True,23,4226
San Antonio Spurs,New Orleans Pelicans,1.8,2.05,2018-11-03,W,Home W,True,80,4306
Denver Nuggets,Utah Jazz,1.53,2.6,2018-11-03,W,Home W,True,52,4358
Portland Trail Blazers,Los Angeles Lakers,1.65,2.35,2018-11-03,L,Away W,True,135.0,4493
Milwaukee Bucks,Sacramento Kings,1.15,5.5,2018-11-04,W,Home W,True,15,4508
Brooklyn Nets,Philadelphia 76ers,2.5,1.56,2018-11-04,W,Home W,True,150.0,4658
Washington Wizards,New York Knicks,1.33,3.4,2018-11-04,W,Home W,True,33,4691
San Antonio Spurs,Orlando Magic,1.28,3.8,2018-11-04,L,Home W,False,-100,4591
Phoenix Suns,Memphis Grizzlies,2.6,1.53,2018-11-04,W,Away W,False,-100,4491
Portland Trail Blazers,Minnesota Timberwolves,1.36,3.25,2018-11-04,W,Home W,True,36,4527
Los Angeles Lakers,Toronto Raptors,1.8,2.05,2018-11-04,L,Away W,True,105.0,4632
Indiana Pacers,Houston Rockets,1.91,1.91,2018-11-05,L,Away W,True,90,4722
Detroit Pistons,Miami Heat,1.67,2.3,2018-11-05,L,Away W,True,130.0,4852
Orlando Magic,Cleveland Cavaliers,1.56,2.5,2018-11-05,W,Away W,False,-100,4752
