Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
Boston Celtics,Toronto Raptors,1.71,2.2,2019-10-25,W,Home W,True,71,71
Charlotte Hornets,Minnesota Timberwolves,-,-,2019-10-25,L,Away W,True,0,71
Brooklyn Nets,New York Knicks,1.28,3.8,2019-10-25,W,Home W,True,27,98
Oklahoma City Thunder,Washington Wizards,1.25,4.0,2019-10-25,L,Away W,True,300.0,398
New Orleans Pelicans,Dallas Mavericks,1.77,2.1,2019-10-25,L,Away W,True,110.0,508
Memphis Grizzlies,Chicago Bulls,2.05,1.8,2019-10-25,L,Away W,True,80,588
Denver Nuggets,Phoenix Suns,1.1,7.5,2019-10-25,W,Away W,False,-100,488
Sacramento Kings,Portland Trail Blazers,2.0,1.83,2019-10-25,L,Away W,True,83,571
Los Angeles Lakers,Utah Jazz,1.62,2.4,2019-10-25,W,Home W,True,62,633
Milwaukee Bucks,Miami Heat,1.12,6.5,2019-10-26,L,Away W,True,550.0,1183
Detroit Pistons,Philadelphia 76ers,2.6,1.53,2019-10-26,L,Away W,True,52,1235
New York Knicks,Boston Celtics,2.9,1.42,2019-10-26,L,Away W,True,41,1276
Atlanta Hawks,Orlando Magic,2.15,1.74,2019-10-26,W,Home W,True,115.0,1391
Cleveland Cavaliers,Indiana Pacers,2.6,1.53,2019-10-26,W,Home W,True,160.0,1551
Chicago Bulls,Toronto Raptors,2.35,1.65,2019-10-26,L,Away W,True,64,1615
Houston Rockets,New Orleans Pelicans,1.1,7.5,2019-10-26,W,Home W,True,10,1625
San Antonio Spurs,Washington Wizards,1.1,7.5,2019-10-26,W,Home W,True,10,1635
Utah Jazz,Sacramento Kings,1.22,4.5,2019-10-26,W,Home W,True,22,1657
Phoenix Suns,LA Clippers,-,-,2019-10-26,W,Away W,False,-100,1557
Oklahoma City Thunder,Golden State Warriors,1.83,2.0,2019-10-27,W,Home W,True,83,1640
Memphis Grizzlies,Brooklyn Nets,2.5,1.56,2019-10-27,W,Away W,False,-100,1540
Minnesota Timberwolves,Miami Heat,1.33,3.4,2019-10-27,W,Home W,True,33,1573
Dallas Mavericks,Portland Trail Blazers,1.69,2.25,2019-10-27,L,Away W,True,125.0,1698
Los Angeles Lakers,Charlotte Hornets,-,-,2019-10-27,W,Home W,True,0,1698
Detroit Pistons,Indiana Pacers,2.1,1.77,2019-10-28,W,Home W,True,110.0,1808
New York Knicks,Chicago Bulls,2.15,1.74,2019-10-28,W,Home W,True,115.0,1923
Atlanta Hawks,Philadelphia 76ers,3.3,1.36,2019-10-28,L,Away W,True,35,1958
Toronto Raptors,Orlando Magic,1.48,2.75,2019-10-28,W,Home W,True,47,2005
New Orleans Pelicans,Golden State Warriors,1.71,2.2,2019-10-28,L,Away W,True,120.0,2125
Milwaukee Bucks,Cleveland Cavaliers,1.03,13.0,2019-10-28,W,Home W,True,3,2128
Houston Rockets,Oklahoma City Thunder,1.17,5.25,2019-10-28,W,Home W,True,16,2144
San Antonio Spurs,Portland Trail Blazers,1.4,3.0,2019-10-28,W,Away W,False,-100,2044
Phoenix Suns,Utah Jazz,2.6,1.53,2019-10-28,L,Away W,True,52,2096
Sacramento Kings,Denver Nuggets,2.8,1.45,2019-10-28,L,Away W,True,45,2141
LA Clippers,Charlotte Hornets,-,-,2019-10-28,W,Home W,True,0,2141
Miami Heat,Atlanta Hawks,1.25,4.0,2019-10-29,W,Home W,True,25,2166
Denver Nuggets,Dallas Mavericks,1.43,2.85,2019-10-29,L,Away W,True,185.0,2351
Los Angeles Lakers,Memphis Grizzlies,1.12,6.75,2019-10-29,W,Home W,True,11,2362
Orlando Magic,New York Knicks,1.2,4.75,2019-10-30,W,Home W,True,20,2382
Philadelphia 76ers,Minnesota Timberwolves,1.32,3.5,2019-10-30,W,Home W,True,32,2414
Cleveland Cavaliers,Chicago Bulls,2.1,1.77,2019-10-30,W,Home W,True,110.0,2524
Toronto Raptors,Detroit Pistons,1.2,4.75,2019-10-30,W,Home W,True,20,2544
Brooklyn Nets,Indiana Pacers,1.67,2.3,2019-10-30,L,Away W,True,130.0,2674
Boston Celtics,Milwaukee Bucks,2.42,1.61,2019-10-30,W,Home W,True,142.0,2816
Washington Wizards,Houston Rockets,3.75,1.29,2019-10-30,L,Away W,True,28,2844
Oklahoma City Thunder,Portland Trail Blazers,2.0,1.83,2019-10-30,L,Away W,True,83,2927
Sacramento Kings,Charlotte Hornets,-,-,2019-10-30,L,Away W,True,0,2927
Utah Jazz,LA Clippers,-,-,2019-10-30,W,Home W,True,0,2927
Golden State Warriors,Phoenix Suns,1.43,2.85,2019-10-30,L,Away W,True,185.0,3112
Atlanta Hawks,Miami Heat,3.2,1.37,2019-10-31,L,Away W,True,37,3149
New Orleans Pelicans,Denver Nuggets,2.5,1.56,2019-10-31,W,Home W,True,150.0,3299
LA Clippers,San Antonio Spurs,-,-,2019-10-31,W,Home W,True,0,3299
Brooklyn Nets,Houston Rockets,2.6,1.53,2019-11-01,W,Home W,True,160.0,3459
Orlando Magic,Milwaukee Bucks,2.6,1.53,2019-11-01,L,Away W,True,52,3511
Indiana Pacers,Cleveland Cavaliers,1.3,3.6,2019-11-01,W,Away W,False,-100,3411
Boston Celtics,New York Knicks,1.14,6.0,2019-11-01,W,Home W,True,14,3425
Chicago Bulls,Detroit Pistons,1.61,2.42,2019-11-01,W,Home W,True,60,3485
Dallas Mavericks,Los Angeles Lakers,2.05,1.8,2019-11-01,L,Away W,True,80,3565
Sacramento Kings,Utah Jazz,2.75,1.48,2019-11-01,W,Away W,False,-100,3465
Golden State Warriors,San Antonio Spurs,3.4,1.33,2019-11-01,L,Away W,True,33,3498
Oklahoma City Thunder,New Orleans Pelicans,1.77,2.1,2019-11-02,W,Home W,True,76,3574
Detroit Pistons,Brooklyn Nets,2.5,1.56,2019-11-02,W,Home W,True,150.0,3724
Orlando Magic,Denver Nuggets,2.5,1.56,2019-11-02,L,Away W,True,55,3779
Memphis Grizzlies,Phoenix Suns,2.3,1.67,2019-11-02,L,Away W,True,66,3845
Washington Wizards,Minnesota Timberwolves,1.67,2.3,2019-11-02,L,Away W,True,130.0,3975
Milwaukee Bucks,Toronto Raptors,1.38,3.1,2019-11-02,W,Home W,True,38,4013
Golden State Warriors,Charlotte Hornets,-,-,2019-11-02,L,Away W,True,0,4013
Portland Trail Blazers,Philadelphia 76ers,1.87,1.95,2019-11-02,L,Away W,True,95,4108
Indiana Pacers,Chicago Bulls,1.77,2.1,2019-11-03,W,Home W,True,76,4184
Miami Heat,Houston Rockets,2.35,1.65,2019-11-03,W,Home W,True,135.0,4319
New York Knicks,Sacramento Kings,1.95,1.87,2019-11-03,L,Away W,True,86,4405
San Antonio Spurs,Los Angeles Lakers,2.0,1.83,2019-11-03,L,Away W,True,83,4488
Cleveland Cavaliers,Dallas Mavericks,2.8,1.45,2019-11-03,L,Away W,True,45,4533
LA Clippers,Utah Jazz,-,-,2019-11-03,W,Home W,True,0,4533
Washington Wizards,Detroit Pistons,1.56,2.5,2019-11-04,W,Home W,True,55,4588
Brooklyn Nets,New Orleans Pelicans,1.59,2.45,2019-11-04,W,Home W,True,58,4646
Minnesota Timberwolves,Milwaukee Bucks,3.6,1.3,2019-11-04,L,Away W,True,30,4676
Memphis Grizzlies,Houston Rockets,2.9,1.42,2019-11-04,L,Away W,True,41,4717
