Home Team,Away Team,Home Odds,Away Odds,Date,Result,Prediction,Correct?,Bet Result,Total
Cleveland Cavaliers,Atlanta Hawks,,,2018-10-21,Over,Over,True,83,83
Oklahoma City Thunder,Sacramento Kings,,,2018-10-21,Over,Over,True,115.0,198
Denver Nuggets,Golden State Warriors,,,2018-10-21,Under,Under,True,110.0,308
LA Clippers,Houston Rockets,,,2018-10-21,-,Over,False,0,308
Toronto Raptors,Charlotte Hornets,,,2018-10-22,-,Over,False,0,308
Boston Celtics,Orlando Magic,,,2018-10-22,Under,Under,True,100.0,408
Minnesota Timberwolves,Indiana Pacers,,,2018-10-22,Under,Under,True,115.0,523
Milwaukee Bucks,New York Knicks,,,2018-10-22,Over,Over,True,110.0,633
Dallas Mavericks,Chicago Bulls,,,2018-10-22,Under,Under,True,115.0,748
Utah Jazz,Memphis Grizzlies,,,2018-10-22,Under,Under,True,72,820
Portland Trail Blazers,Washington Wizards,,,2018-10-22,Over,Over,True,115.0,935
Los Angeles Lakers,San Antonio Spurs,,,2018-10-22,Over,Over,True,72,1007
Golden State Warriors,Phoenix Suns,,,2018-10-22,Under,Under,True,105.0,1112
Detroit Pistons,Philadelphia 76ers,,,2018-10-23,Over,Over,True,100.0,1212
New Orleans Pelicans,LA Clippers,,,2018-10-23,-,Under,False,0,1212
Denver Nuggets,Sacramento Kings,,,2018-10-23,Over,Over,True,90,1302
Cleveland Cavaliers,Brooklyn Nets,,,2018-10-24,Under,Under,True,72,1374
Atlanta Hawks,Dallas Mavericks,,,2018-10-24,Under,Over,False,-100,1274
Miami Heat,New York Knicks,,,2018-10-24,Under,Under,True,105.0,1379
Toronto Raptors,Minnesota Timberwolves,,,2018-10-24,Under,Under,True,90,1469
Chicago Bulls,Charlotte Hornets,,,2018-10-24,-,Under,False,0,1469
Houston Rockets,Utah Jazz,,,2018-10-24,Under,Under,True,80,1549
San Antonio Spurs,Indiana Pacers,,,2018-10-24,Under,Under,True,90,1639
Milwaukee Bucks,Philadelphia 76ers,,,2018-10-24,Over,Over,True,100.0,1739
Phoenix Suns,Los Angeles Lakers,,,2018-10-24,Over,Over,True,90,1829
Sacramento Kings,Memphis Grizzlies,,,2018-10-24,Under,Under,True,72,1901
Golden State Warriors,Washington Wizards,,,2018-10-24,Over,Over,True,110.0,2011
Detroit Pistons,Cleveland Cavaliers,,,2018-10-25,Under,Under,True,83,2094
Orlando Magic,Portland Trail Blazers,,,2018-10-25,Over,Over,True,90,2184
